"filename", "language", "JSON", "XML", "JavaScript", "YAML", "PostCSS", "Markdown", "Handlebars", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\documents\actor.mjs", "JavaScript", 0, 0, 2151, 0, 0, 0, 0, 0, 0, 157, 136, 2444
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\documents\item.mjs", "JavaScript", 0, 0, 665, 0, 0, 0, 0, 0, 0, 53, 34, 752
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\CBTracker.mjs", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 7, 3, 136
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\YZEDiceRoller.mjs", "JavaScript", 0, 0, 502, 0, 0, 0, 0, 0, 0, 91, 43, 636
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\alienRPGBaseDice.mjs", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 10, 11, 61
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\alienRPGConfig.mjs", "JavaScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 5, 15, 91
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\alienprgSettings.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 47, 0, 0, 1, 4, 52
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\combat.mjs", "JavaScript", 0, 0, 165, 0, 0, 0, 0, 0, 0, 27, 20, 212
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\common.mjs", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 18, 18, 90
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\config.mjs", "JavaScript", 0, 0, 536, 0, 0, 0, 0, 0, 0, 8, 27, 571
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\effects.mjs", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 8, 3, 39
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\enricher.mjs", "JavaScript", 0, 0, 145, 0, 0, 0, 0, 0, 0, 6, 4, 155
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\handlebars.mjs", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 55, 16, 149
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\logger.mjs", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 9, 53
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\rollTableData.mjs", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 5, 41
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\settings.mjs", "JavaScript", 0, 0, 196, 0, 0, 0, 0, 0, 0, 3, 19, 218
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\helpers\utils.mjs", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 59, 27, 159
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\logger.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 10, 54
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\migration.js", "JavaScript", 0, 0, 96, 0, 0, 0, 0, 0, 0, 154, 28, 278
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\sheets\_module.mjs", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
